Bandit,Reward,Algorithm
1,0.7364553402968288,ThompsonSampling
1,1.3543415661456886,ThompsonSampling
2,3.6970586116288784,ThompsonSampling
2,1.5097985162462364,ThompsonSampling
2,1.8627125286131905,ThompsonSampling
1,1.928144977127482,ThompsonSampling
2,4.428082527902658,ThompsonSampling
2,3.7230174222485166,ThompsonSampling
2,2.160276169068707,ThompsonSampling
2,5.200807350428814,ThompsonSampling
2,3.372147056924181,ThompsonSampling
2,2.8634757054594786,ThompsonSampling
2,2.6147264432291197,ThompsonSampling
1,1.8524429304845575,ThompsonSampling
1,1.9124637231962243,ThompsonSampling
1,1.2324552784967415,ThompsonSampling
2,4.380125891696232,ThompsonSampling
2,3.652505258626219,ThompsonSampling
2,4.221349995790675,ThompsonSampling
2,2.730933044825753,ThompsonSampling
2,3.4127471649995833,ThompsonSampling
2,3.0874963411415126,ThompsonSampling
2,5.078307588037704,ThompsonSampling
2,2.426018437210277,ThompsonSampling
2,1.7848129503475294,ThompsonSampling
2,3.1093477636384717,ThompsonSampling
2,2.4079698228228987,ThompsonSampling
2,1.8386900480666013,ThompsonSampling
1,1.7416568545687108,ThompsonSampling
2,4.738853079617217,ThompsonSampling
2,3.3766935872796657,ThompsonSampling
2,2.060603984527807,ThompsonSampling
1,2.760685091696806,ThompsonSampling
2,2.097231761827917,ThompsonSampling
2,4.216449485091147,ThompsonSampling
2,5.148136388833414,ThompsonSampling
2,3.3185392744580313,ThompsonSampling
2,2.9089792167437825,ThompsonSampling
2,2.9822067565992336,ThompsonSampling
1,1.0178112097049044,ThompsonSampling
2,4.765402086021446,ThompsonSampling
1,2.2052671482188937,ThompsonSampling
2,3.5073836134273404,ThompsonSampling
2,3.9575850957230805,ThompsonSampling
2,2.1953606170292286,ThompsonSampling
2,2.587391676647431,ThompsonSampling
2,2.9700580357348527,ThompsonSampling
1,2.054983258267654,ThompsonSampling
1,1.1744390087490224,ThompsonSampling
2,3.443135862620736,ThompsonSampling
2,3.740488265474444,ThompsonSampling
2,2.50686839634881,ThompsonSampling
2,2.2873508887930605,ThompsonSampling
2,3.8125545418099254,ThompsonSampling
2,4.272742203758512,ThompsonSampling
1,0.5669012916622211,ThompsonSampling
3,4.189712772049913,ThompsonSampling
2,1.4448783571801485,ThompsonSampling
2,2.390624615792413,ThompsonSampling
2,3.490116816948777,ThompsonSampling
2,2.6496937627018684,ThompsonSampling
2,2.1624444422843387,ThompsonSampling
1,1.4047666193412813,ThompsonSampling
1,2.4244905454623438,ThompsonSampling
2,3.8427050044286526,ThompsonSampling
2,2.5171959242847404,ThompsonSampling
2,3.9297126989036286,ThompsonSampling
2,3.7911182365794174,ThompsonSampling
2,4.120115088405902,ThompsonSampling
2,4.273600909905253,ThompsonSampling
2,3.3544061172306643,ThompsonSampling
1,1.1035926169941015,ThompsonSampling
1,2.363098671643298,ThompsonSampling
2,3.793632500273029,ThompsonSampling
2,1.6237780004350808,ThompsonSampling
2,2.4375852843954693,ThompsonSampling
2,3.214429767070843,ThompsonSampling
1,4.288524399284521,ThompsonSampling
1,3.961812312179412,ThompsonSampling
2,2.717525965973786,ThompsonSampling
1,1.6119096569896016,ThompsonSampling
2,0.8303254349875178,ThompsonSampling
2,3.544957542064041,ThompsonSampling
1,1.4999382996224782,ThompsonSampling
2,2.0598928168754114,ThompsonSampling
2,3.070997529192068,ThompsonSampling
2,4.437632846013583,ThompsonSampling
2,3.6775227293572965,ThompsonSampling
2,2.9090370023422225,ThompsonSampling
2,2.349729570247485,ThompsonSampling
2,5.023533709644042,ThompsonSampling
2,3.9146784459296717,ThompsonSampling
2,2.8498919946247794,ThompsonSampling
2,2.492802925307042,ThompsonSampling
2,2.169983773260401,ThompsonSampling
2,3.7927433587828503,ThompsonSampling
2,4.369510372882025,ThompsonSampling
2,3.687069925838226,ThompsonSampling
2,1.9870455269372485,ThompsonSampling
2,5.454684241677834,ThompsonSampling
2,3.228490817745352,ThompsonSampling
2,2.753747971953687,ThompsonSampling
1,0.9174350572968746,ThompsonSampling
2,3.683612386274251,ThompsonSampling
2,3.704049877862354,ThompsonSampling
2,4.198794634763406,ThompsonSampling
2,4.837997806499528,ThompsonSampling
1,0.6746901133179373,ThompsonSampling
2,2.3203328049631877,ThompsonSampling
2,3.0319259682981263,ThompsonSampling
2,4.362696164819475,ThompsonSampling
2,1.9135892598951474,ThompsonSampling
2,3.251015609589241,ThompsonSampling
2,3.254545733788673,ThompsonSampling
2,2.664489345354869,ThompsonSampling
2,2.674710351400009,ThompsonSampling
2,4.280391668825465,ThompsonSampling
2,1.336206153440005,ThompsonSampling
2,3.071820626318943,ThompsonSampling
2,3.92203046043257,ThompsonSampling
2,4.666789890440866,ThompsonSampling
2,3.7772996531796483,ThompsonSampling
2,1.820880629809153,ThompsonSampling
2,4.046174445074802,ThompsonSampling
2,4.0203726279791585,ThompsonSampling
1,2.1757951776643196,ThompsonSampling
2,3.739765739609071,ThompsonSampling
2,3.7636232062216366,ThompsonSampling
2,0.7038451580154632,ThompsonSampling
2,1.5869449581951727,ThompsonSampling
1,3.5128759105752203,ThompsonSampling
2,2.086706025170861,ThompsonSampling
2,3.481738063123198,ThompsonSampling
2,3.1502037120884134,ThompsonSampling
2,3.0250620364422796,ThompsonSampling
2,3.847014533179135,ThompsonSampling
2,3.6612553029863095,ThompsonSampling
2,2.56001844110697,ThompsonSampling
2,1.7461505298990283,ThompsonSampling
2,2.4911389994148783,ThompsonSampling
2,2.554543006471976,ThompsonSampling
1,1.7575166960875874,ThompsonSampling
2,4.996408235867268,ThompsonSampling
1,2.1294697435356356,ThompsonSampling
2,2.4168093275437235,ThompsonSampling
2,2.4195076343377497,ThompsonSampling
2,3.1612294923309148,ThompsonSampling
2,2.3945804656602507,ThompsonSampling
2,4.093970125257403,ThompsonSampling
2,3.4847652752130363,ThompsonSampling
2,0.5081095152206347,ThompsonSampling
2,0.3927965945369012,ThompsonSampling
2,2.248844297568248,ThompsonSampling
2,3.668273889839239,ThompsonSampling
2,4.880464094233887,ThompsonSampling
2,3.2975564729840836,ThompsonSampling
2,3.889718530470906,ThompsonSampling
2,1.6893236437727956,ThompsonSampling
2,2.134525377116315,ThompsonSampling
2,2.0988897217581357,ThompsonSampling
2,3.1968916045891707,ThompsonSampling
1,2.1092778334362148,ThompsonSampling
2,4.908384276231994,ThompsonSampling
2,0.5419094768742436,ThompsonSampling
2,4.2290944359269895,ThompsonSampling
2,2.392776509853387,ThompsonSampling
2,3.159549148053114,ThompsonSampling
2,2.3419497085020455,ThompsonSampling
2,2.808297982009359,ThompsonSampling
2,4.350206522266931,ThompsonSampling
2,3.154532250549689,ThompsonSampling
2,3.455123080725571,ThompsonSampling
2,3.3493150133372085,ThompsonSampling
2,4.639990615089348,ThompsonSampling
