Bandit,Reward,Algorithm
0,2.201245184628647,EpsilonGreedy
0,1.4036460082304851,EpsilonGreedy
0,0.21481729578399422,EpsilonGreedy
0,1.8709637426734904,EpsilonGreedy
0,0.7605117660964585,EpsilonGreedy
0,2.974966868241608,EpsilonGreedy
0,-0.9137658946585854,EpsilonGreedy
0,0.505766228015117,EpsilonGreedy
0,0.7438583232317164,EpsilonGreedy
2,1.917355067753571,EpsilonGreedy
2,1.8569101567372066,EpsilonGreedy
2,3.569442779448565,EpsilonGreedy
2,3.4736459091559473,EpsilonGreedy
2,2.0438942267613625,EpsilonGreedy
2,1.4317408562957412,EpsilonGreedy
2,2.9606314224126953,EpsilonGreedy
2,3.9162197999762602,EpsilonGreedy
2,2.894383759587226,EpsilonGreedy
2,4.435740909284964,EpsilonGreedy
2,2.7545215646786954,EpsilonGreedy
2,3.571286952166162,EpsilonGreedy
2,3.5163154977557807,EpsilonGreedy
2,5.649360738374389,EpsilonGreedy
2,3.6477879016269537,EpsilonGreedy
2,4.041808367850225,EpsilonGreedy
2,4.1890474171942085,EpsilonGreedy
2,4.851428383770616,EpsilonGreedy
2,1.7987737374039587,EpsilonGreedy
2,3.097476348114859,EpsilonGreedy
2,3.140927608044879,EpsilonGreedy
2,2.542202359996467,EpsilonGreedy
2,4.007620288809962,EpsilonGreedy
2,2.0033558424236126,EpsilonGreedy
2,2.8551968718015477,EpsilonGreedy
2,3.625815333362731,EpsilonGreedy
2,2.929582756561405,EpsilonGreedy
2,4.763386799523429,EpsilonGreedy
2,2.6734761461091927,EpsilonGreedy
2,3.207571579061476,EpsilonGreedy
2,3.1688577475203132,EpsilonGreedy
2,4.96940766317384,EpsilonGreedy
2,3.561824031316045,EpsilonGreedy
2,1.7482409157317553,EpsilonGreedy
2,1.8875612443357754,EpsilonGreedy
2,5.233926095760381,EpsilonGreedy
2,2.9253425269220497,EpsilonGreedy
2,2.514961721504929,EpsilonGreedy
2,4.605734699091371,EpsilonGreedy
2,3.923276844260325,EpsilonGreedy
2,3.217350237290652,EpsilonGreedy
2,2.309984211521843,EpsilonGreedy
2,2.0956832698669725,EpsilonGreedy
2,3.606995991496122,EpsilonGreedy
2,4.573927742601871,EpsilonGreedy
2,2.3452197465981257,EpsilonGreedy
2,3.702718279767806,EpsilonGreedy
2,2.723380324470816,EpsilonGreedy
2,2.3010173963558764,EpsilonGreedy
2,3.594169884616281,EpsilonGreedy
2,4.111765104306344,EpsilonGreedy
2,1.1660691066667146,EpsilonGreedy
2,4.638615830724377,EpsilonGreedy
2,0.23852448206935017,EpsilonGreedy
2,4.102834307049104,EpsilonGreedy
2,3.047124383565935,EpsilonGreedy
2,4.532093188083888,EpsilonGreedy
2,5.091901576101762,EpsilonGreedy
2,3.00921652043663,EpsilonGreedy
2,2.946348925988401,EpsilonGreedy
2,2.25358059855502,EpsilonGreedy
2,4.528698821522103,EpsilonGreedy
2,2.0713414132896633,EpsilonGreedy
2,3.95817089330036,EpsilonGreedy
2,3.1140122953769884,EpsilonGreedy
2,2.108925556263479,EpsilonGreedy
2,5.502084145204796,EpsilonGreedy
2,2.1206801368952393,EpsilonGreedy
2,5.309973985826443,EpsilonGreedy
2,2.020516555296176,EpsilonGreedy
2,2.4227952887662467,EpsilonGreedy
2,2.100442689083515,EpsilonGreedy
2,2.9462671632452824,EpsilonGreedy
2,4.092769166561107,EpsilonGreedy
2,1.5371937532256132,EpsilonGreedy
2,3.2534784108152177,EpsilonGreedy
2,3.8072876402068223,EpsilonGreedy
2,2.9952090627438728,EpsilonGreedy
2,1.5998173785221537,EpsilonGreedy
2,3.108571308713427,EpsilonGreedy
2,3.826666437187108,EpsilonGreedy
2,4.0973005096035475,EpsilonGreedy
2,2.0135668181684307,EpsilonGreedy
2,3.761390590388037,EpsilonGreedy
2,3.6822434058220397,EpsilonGreedy
2,3.6214949686364726,EpsilonGreedy
2,4.419867120392388,EpsilonGreedy
2,3.5089723163013975,EpsilonGreedy
2,2.1803889408901025,EpsilonGreedy
2,5.577323847165681,EpsilonGreedy
2,1.9773468404967904,EpsilonGreedy
2,1.2950070713728432,EpsilonGreedy
2,4.257844821867778,EpsilonGreedy
2,2.466986644002272,EpsilonGreedy
2,2.661534141293675,EpsilonGreedy
2,3.1492381041636506,EpsilonGreedy
2,2.4995500388957756,EpsilonGreedy
2,3.045635660901415,EpsilonGreedy
2,2.8142908039274257,EpsilonGreedy
2,2.7022827733245873,EpsilonGreedy
2,0.992923153974937,EpsilonGreedy
2,1.4723119370622413,EpsilonGreedy
2,1.8486169349839345,EpsilonGreedy
2,3.002652176323756,EpsilonGreedy
2,2.927006101622438,EpsilonGreedy
2,4.38071380013397,EpsilonGreedy
2,3.8702503714091794,EpsilonGreedy
2,2.944433709063393,EpsilonGreedy
2,2.201518147701422,EpsilonGreedy
2,3.6747448457287093,EpsilonGreedy
2,2.599334333333601,EpsilonGreedy
2,3.2219241975873185,EpsilonGreedy
2,1.2813628831883046,EpsilonGreedy
2,1.7473795033005826,EpsilonGreedy
2,4.022863835071109,EpsilonGreedy
2,2.237236193259133,EpsilonGreedy
2,1.5903437075036906,EpsilonGreedy
2,2.797128864811638,EpsilonGreedy
2,2.8904445808908394,EpsilonGreedy
2,1.8321125998240226,EpsilonGreedy
2,3.8430279884572376,EpsilonGreedy
2,1.8036948495238694,EpsilonGreedy
2,2.386699897468455,EpsilonGreedy
2,2.9422299136286703,EpsilonGreedy
2,4.1150663105915735,EpsilonGreedy
2,3.6522054193696167,EpsilonGreedy
2,3.869693127565419,EpsilonGreedy
2,4.763457197824643,EpsilonGreedy
2,2.123090999302058,EpsilonGreedy
0,0.18748886394233444,EpsilonGreedy
2,3.2403618820134716,EpsilonGreedy
2,2.216643638105915,EpsilonGreedy
2,3.4501816727440193,EpsilonGreedy
2,2.688127367993677,EpsilonGreedy
2,1.8124247172131331,EpsilonGreedy
2,4.349088093893549,EpsilonGreedy
2,2.8918979755449614,EpsilonGreedy
2,3.5829853660814033,EpsilonGreedy
2,2.1697399578243814,EpsilonGreedy
2,3.588530123680206,EpsilonGreedy
2,1.4520341326572999,EpsilonGreedy
2,3.138770630350098,EpsilonGreedy
2,2.6690925279546813,EpsilonGreedy
2,3.6502179833951893,EpsilonGreedy
2,1.8792024356015862,EpsilonGreedy
2,3.8934477207774805,EpsilonGreedy
2,3.6685429779965464,EpsilonGreedy
2,3.8621313427574426,EpsilonGreedy
2,1.5381540017557707,EpsilonGreedy
2,3.0196181287064148,EpsilonGreedy
2,2.4052148983552604,EpsilonGreedy
2,1.8735307349730717,EpsilonGreedy
2,3.845202362165103,EpsilonGreedy
